algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
montecarlo,2000,0.1,0.99,0.1,366,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,367,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,368,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,369,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,370,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,371,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,372,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,373,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,374,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,375,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,376,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,377,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,378,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,379,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,380,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,381,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,382,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,383,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,384,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,385,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,386,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,387,6.8000,12,1
montecarlo,2000,0.1,0.99,0.1,388,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,389,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,390,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,391,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,392,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,393,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,394,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,395,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,396,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,397,9.0000,10,1
