algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
sarsa,600,0.1,0.99,0.1,418,9.2000,8,1
sarsa,600,0.1,0.99,0.1,419,9.2000,8,1
sarsa,600,0.1,0.99,0.1,420,9.2000,8,1
sarsa,600,0.1,0.99,0.1,421,9.2000,8,1
sarsa,600,0.1,0.99,0.1,422,9.2000,8,1
sarsa,600,0.1,0.99,0.1,423,9.2000,8,1
sarsa,600,0.1,0.99,0.1,424,9.2000,8,1
sarsa,600,0.1,0.99,0.1,425,9.0000,10,1
sarsa,600,0.1,0.99,0.1,426,9.2000,8,1
sarsa,600,0.1,0.99,0.1,427,9.2000,8,1
sarsa,600,0.1,0.99,0.1,428,9.2000,8,1
sarsa,600,0.1,0.99,0.1,429,9.0000,10,1
sarsa,600,0.1,0.99,0.1,430,9.0000,10,1
sarsa,600,0.1,0.99,0.1,431,9.2000,8,1
sarsa,600,0.1,0.99,0.1,432,8.1000,9,1
sarsa,600,0.1,0.99,0.1,433,9.0000,10,1
sarsa,600,0.1,0.99,0.1,434,9.2000,8,1
sarsa,600,0.1,0.99,0.1,435,9.2000,8,1
sarsa,600,0.1,0.99,0.1,436,9.2000,8,1
sarsa,600,0.1,0.99,0.1,437,9.2000,8,1
sarsa,600,0.1,0.99,0.1,438,9.2000,8,1
sarsa,600,0.1,0.99,0.1,439,7.7000,13,1
sarsa,600,0.1,0.99,0.1,440,9.2000,8,1
sarsa,600,0.1,0.99,0.1,441,9.0000,10,1
sarsa,600,0.1,0.99,0.1,442,9.0000,10,1
sarsa,600,0.1,0.99,0.1,443,9.2000,8,1
sarsa,600,0.1,0.99,0.1,444,7.0000,10,1
sarsa,600,0.1,0.99,0.1,445,8.1000,9,1
sarsa,600,0.1,0.99,0.1,446,8.1000,9,1
sarsa,600,0.1,0.99,0.1,447,9.2000,8,1
sarsa,600,0.1,0.99,0.1,448,9.0000,10,1
sarsa,600,0.1,0.99,0.1,449,9.0000,10,1
sarsa,600,0.1,0.99,0.1,450,9.2000,8,1
sarsa,600,0.1,0.99,0.1,451,9.0000,10,1
sarsa,600,0.1,0.99,0.1,452,9.2000,8,1
sarsa,600,0.1,0.99,0.1,453,7.9000,11,1
sarsa,600,0.1,0.99,0.1,454,9.2000,8,1
sarsa,600,0.1,0.99,0.1,455,9.2000,8,1
sarsa,600,0.1,0.99,0.1,456,8.1000,9,1
sarsa,600,0.1,0.99,0.1,457,8.1000,9,1
sarsa,600,0.1,0.99,0.1,458,9.2000,8,1
sarsa,600,0.1,0.99,0.1,459,7.0000,10,1
